매물번호,매물명,거래타입,보증금/매매가,월세,전용면적,건물명_원본,기존주소,위도,경도,시도,시군구,읍면동,법정동코드,지번주소,지번,본번,부번,산여부,도로명주소,건물명_카카오,지하여부,완전주소,주소타입,우편번호,중개사
2539175496,대형사무실,월세,2억,"1,100",487,대형사무실,,37.497611,127.038053,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 746,746,746,,N,서울특별시 강남구 논현로 419,PMK 빌딩,N,서울특별시 강남구 논현로 419,road,06246,(주)마이다스부동산중개법인서초
2539293761,중소형사무실,월세,1억,750,206,중소형사무실,,37.498643,127.03439,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 735-35,735-35,735,35,N,서울특별시 강남구 테헤란로20길 16,금정빌딩,N,서울특별시 강남구 테헤란로20길 16,road,06235,주식회사 강남부동산중개
2539303536,중소형사무실,월세,"2,000",270,102,중소형사무실,,37.500646,127.040185,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 718-30,718-30,718,30,N,서울특별시 강남구 테헤란로34길 14,,N,서울특별시 강남구 테헤란로34길 14,road,06220,주식회사 아하부동산중개법인
2537952435,대형사무실,월세,4억 688,"4,068",825,대형사무실,,37.499781,127.032202,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 648-19,648-19,648,19,N,서울특별시 강남구 테헤란로 127,하나금융그룹 강남사옥,N,서울특별시 강남구 테헤란로 127,road,06133,주식회사블루핀부동산중개
2539570102,중소형사무실,월세,"3,000",330,139,중소형사무실,,37.495745,127.036853,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 748-28,748-28,748,28,N,서울특별시 강남구 역삼로19길 7,,N,서울특별시 강남구 역삼로19길 7,road,06246,스페이스제이공인중개사사무소
2538856950,대형사무실,월세,2억,"1,600",528,대형사무실,,37.50606,127.035757,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 657-5,657-5,657,5,N,서울특별시 강남구 논현로106길 16-4,,N,서울특별시 강남구 논현로106길 16-4,road,06136,(주)원앤원부동산중개법인
2539386365,중소형사무실,월세,"5,000",350,138,중소형사무실,,37.508974,127.04413,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 683-11,683-11,683,11,N,서울특별시 강남구 선릉로 565,한국빌딩,N,서울특별시 강남구 선릉로 565,road,06145,(주)마이다스부동산중개법인
2539597043,중소형사무실,월세,"8,000",600,195,중소형사무실,,37.498957,127.035055,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 736-31,736-31,736,31,N,서울특별시 강남구 테헤란로22길 14,,N,서울특별시 강남구 테헤란로22길 14,road,06236,주식회사 강남부동산중개
2539564031,중소형사무실,월세,"5,000",400,153,중소형사무실,,37.492899,127.041006,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 788-14,788-14,788,14,N,,,N,서울 강남구 역삼동 788-14,jibun,,스페이스제이공인중개사사무소
2539616667,중소형사무실,월세,1억,580,283,중소형사무실,,37.509363,127.041806,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 681-42,681-42,681,42,N,서울특별시 강남구 봉은사로 316,,N,서울특별시 강남구 봉은사로 316,road,06143,부동산중개법인 익스퍼트 (주)
2539569222,중소형사무실,월세,1억,600,211,중소형사무실,,37.499642,127.035845,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 736-55,736-55,736,55,N,서울특별시 강남구 테헤란로26길 10,성보빌딩,N,서울특별시 강남구 테헤란로26길 10,road,06236,스페이스제이공인중개사사무소
2539569867,중소형사무실,월세,"1억 2,000","1,200",287,중소형사무실,,37.496652,127.038015,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 746-20,746-20,746,20,N,서울특별시 강남구 논현로75길 8,비드 빌딩,N,서울특별시 강남구 논현로75길 8,road,06247,스페이스제이공인중개사사무소
2538890233,중소형사무실,월세,1억,730,186,중소형사무실,,37.504569,127.042499,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 700-8,700-8,700,8,N,서울특별시 강남구 언주로94길 5,,N,서울특별시 강남구 언주로94길 5,road,06147,주식회사블루핀부동산중개
2538898550,중소형사무실,월세,"5,000",500,258,중소형사무실,,37.498077,127.039468,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 728,728,728,,N,서울특별시 강남구 역삼로25길 28,지산빌딩,N,서울특별시 강남구 역삼로25길 28,road,06224,더해냄공인중개사사무소
2539387949,중소형사무실,월세,"6,000",450,163,중소형사무실,,37.499404,127.043061,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 724-46,724-46,724,46,N,서울특별시 강남구 언주로79길 12,,N,서울특별시 강남구 언주로79길 12,road,06222,(주)더탑원부동산중개법인
2538915903,중소형사무실,월세,"7,000",530,197,중소형사무실,,37.502314,127.039322,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 678-28,678-28,678,28,N,서울특별시 강남구 테헤란로33길 7,,N,서울특별시 강남구 테헤란로33길 7,road,06141,주식회사 강남부동산중개
2539525925,중소형사무실,월세,"1억 3,000","1,000",309,중소형사무실,,37.498661,127.038778,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 726-1,726-1,726,1,N,서울특별시 강남구 역삼로25길 37,,N,서울특별시 강남구 역삼로25길 37,road,06223,퍼센트원공인중개사사무소
2539273054,중소형사무실,월세,"5,000",441,172,중소형사무실,,37.499312,127.035549,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 736-50,736-50,736,50,N,서울특별시 강남구 논현로87길 15-6,역삼동오피스,N,서울특별시 강남구 논현로87길 15-6,road,06236,주식회사 강남부동산중개
2539403099,중소형사무실,월세,"3,000",285,158,중소형사무실,,37.504679,127.035435,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 667,667,667,,N,서울특별시 강남구 논현로 542,금석빌딩,N,서울특별시 강남구 논현로 542,road,06136,(주)미스터부동산중개법인
2539322231,중소형사무실,월세,"1억 2,000",900,286,중소형사무실,,37.50432,127.044661,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 703-8,703-8,703,8,N,서울특별시 강남구 선릉로93길 50,현석타워,N,서울특별시 강남구 선릉로93길 50,road,06151,다온부동산중개사무소
2538399126,중소형사무실,월세,"2,500",190,101,중소형사무실,,37.491116,127.034356,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 836-67,836-67,836,67,N,서울특별시 강남구 강남대로62길 35,,N,서울특별시 강남구 강남대로62길 35,road,06254,ALL바른공인중개사사무소
2538883311,중소형사무실,월세,"3,500",330,144,중소형사무실,,37.504837,127.044321,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 704-6,704-6,704,6,N,서울특별시 강남구 언주로98길 31,,N,서울특별시 강남구 언주로98길 31,road,06148,유지공인중개사사무소
2538912517,중소형사무실,월세,"3,000",350,148,중소형사무실,,37.499009,127.043558,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 730-14,730-14,730,14,N,서울특별시 강남구 언주로75길 8,,N,서울특별시 강남구 언주로75길 8,road,06225,주식회사 강남부동산중개
2538673974,중소형사무실,월세,"5,400",540,169,중소형사무실,,37.499645,127.028616,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 818-11,818-11,818,11,N,서울특별시 강남구 강남대로94길 15,,N,서울특별시 강남구 강남대로94길 15,road,06129,삼광공인중개사사무소
2538909433,중소형사무실,월세,"3,000",320,109,중소형사무실,,37.496442,127.03057,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 827-9,827-9,827,9,N,서울특별시 강남구 테헤란로4길 31,인예지빌딩,N,서울특별시 강남구 테헤란로4길 31,road,06240,주식회사 강남부동산중개
2538671509,대형사무실,월세,1억,800,314,대형사무실,,37.500665,127.02912,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 635-6,635-6,635,6,N,서울특별시 강남구 강남대로94길 27-15,태리빌딩,N,서울특별시 강남구 강남대로94길 27-15,road,06130,삼광공인중개사사무소
2538853522,대형사무실,월세,2억,"2,100",310,대형사무실,,37.499404,127.028838,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 819-2,819-2,819,2,N,서울특별시 강남구 강남대로94길 18,,N,서울특별시 강남구 강남대로94길 18,road,06134,박태양랩부동산중개주식회사
2538918295,중소형사무실,월세,"7,000",680,191,중소형사무실,,37.50245,127.038034,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 678-10,678-10,678,10,N,서울특별시 강남구 테헤란로27길 16,BMY역삼타워,N,서울특별시 강남구 테헤란로27길 16,road,06141,스페이스제이공인중개사사무소
2538602400,중소형사무실,월세,"7,000",680,193,중소형사무실,,37.50245,127.038034,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 678-10,678-10,678,10,N,서울특별시 강남구 테헤란로27길 16,BMY역삼타워,N,서울특별시 강남구 테헤란로27길 16,road,06141,(주)원앤원부동산중개법인
2538892698,중소형사무실,월세,"8,000",530,280,중소형사무실,,37.502585,127.035346,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 641-17,641-17,641,17,N,서울특별시 강남구 테헤란로25길 30,,N,서울특별시 강남구 테헤란로25길 30,road,06131,더해냄공인중개사사무소
2539027261,중소형사무실,월세,"1,275",89,89,중소형사무실,,37.498682,127.034075,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 735-25,735-25,735,25,N,서울특별시 강남구 테헤란로16길 13,,N,서울특별시 강남구 테헤란로16길 13,road,06235,(주)미스터부동산중개법인
2538333533,중소형사무실,월세,"2,000",140,92,중소형사무실,,37.499825,127.028337,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 818-3,818-3,818,3,N,서울특별시 강남구 강남대로96길 16,,N,서울특별시 강남구 강남대로96길 16,road,06129,(주)미스터부동산중개법인
2539011695,중소형사무실,월세,"1,600",125,116,중소형사무실,,37.498127,127.03221,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 823-9,823-9,823,9,N,,,N,서울 강남구 역삼동 823-9,jibun,,(주)미스터부동산중개법인
2538675738,중소형사무실,월세,"5,000",500,258,중소형사무실,,37.498077,127.039468,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 728,728,728,,N,서울특별시 강남구 역삼로25길 28,지산빌딩,N,서울특별시 강남구 역삼로25길 28,road,06224,주식회사 아하부동산중개법인
2538938509,중소형사무실,월세,1억,750,301,중소형사무실,,37.497942,127.036374,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 739-16,739-16,739,16,N,서울특별시 강남구 역삼로17길 51,미드타운센터 역삼,N,서울특별시 강남구 역삼로17길 51,road,06237,오늘의공간 공인중개사사무소
2538741620,중소형사무실,월세,"1억 3,000","1,000",449,중소형사무실,,37.498661,127.038778,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 726-1,726-1,726,1,N,서울특별시 강남구 역삼로25길 37,,N,서울특별시 강남구 역삼로25길 37,road,06223,주식회사블루핀부동산중개
2538777756,중소형사무실,월세,"1억 2,000",700,301,중소형사무실,,37.49809,127.036303,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 739-16,739-16,739,16,N,,,N,서울 강남구 역삼동 739-16,jibun,,주식회사블루핀부동산중개
2538239810,중소형사무실,월세,"3,500",238,101,중소형사무실,,37.498535,127.035735,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 739-8,739-8,739,8,N,서울특별시 강남구 논현로85길 29,,N,서울특별시 강남구 논현로85길 29,road,06237,주식회사 아하부동산중개법인
2538381375,중소형사무실,월세,"6,000",400,386,중소형사무실,,37.501723,127.043792,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 706-25,706-25,706,25,N,서울특별시 강남구 언주로86길 5,,N,서울특별시 강남구 언주로86길 5,road,06210,(주)마이다스부동산중개법인서초
2538681846,중소형사무실,월세,"7,000",530,118,중소형사무실,,37.503528,127.037934,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 670-11,670-11,670,11,N,서울특별시 강남구 논현로98길 26-8,,N,서울특별시 강남구 논현로98길 26-8,road,06140,(주)마이다스부동산중개법인서초
2538639223,중소형사무실,월세,"1억 5,000","1,260",270,중소형사무실,,37.500539,127.034693,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 646-20,646-20,646,20,N,서울특별시 강남구 테헤란로 141,,N,서울특별시 강남구 테헤란로 141,road,06132,(주)원앤원부동산중개법인
2538359129,대형사무실,월세,"1억 5,000","1,260",270,대형사무실,,37.500539,127.034693,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 646-20,646-20,646,20,N,서울특별시 강남구 테헤란로 141,,N,서울특별시 강남구 테헤란로 141,road,06132,(주)미스터부동산중개법인
2538007219,중소형사무실,월세,"5,000",530,197,중소형사무실,,37.502314,127.039322,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 678-28,678-28,678,28,N,서울특별시 강남구 테헤란로33길 7,,N,서울특별시 강남구 테헤란로33길 7,road,06141,더해냄공인중개사사무소
2538659037,중소형사무실,월세,1억,650,295,중소형사무실,,37.509203,127.040998,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 681-17,681-17,681,17,N,서울특별시 강남구 봉은사로 310,숨빌딩,N,서울특별시 강남구 봉은사로 310,road,06143,(주)원앤원부동산중개법인
2538366675,중소형사무실,월세,"2,000",250,93,중소형사무실,,37.505588,127.033891,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 607-4,607-4,607,4,N,서울특별시 강남구 봉은사로26길 23,,N,서울특별시 강남구 봉은사로26길 23,road,06126,(주)원앤원부동산중개법인
2537998746,중소형사무실,월세,"2,000",270,102,중소형사무실,,37.500646,127.040185,서울특별시,강남구,역삼2동,1168065000,서울 강남구 역삼동 718-30,718-30,718,30,N,서울특별시 강남구 테헤란로34길 14,,N,서울특별시 강남구 테헤란로34길 14,road,06220,(주)마이다스부동산중개법인서초
2538676331,중소형사무실,월세,"1억 3,000","1,100",398,중소형사무실,,37.505056,127.047294,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 705-7,705-7,705,7,N,서울특별시 강남구 선릉로93길 15,제이더블유타워,N,서울특별시 강남구 선릉로93길 15,road,06150,(주)마이다스부동산중개법인서초
2538443969,중소형사무실,월세,"5,000",200,44,중소형사무실,,37.498079,127.037625,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 738-35,738-35,738,35,N,,,N,서울 강남구 역삼동 738-35,jibun,,(주)미스터부동산중개법인
2538484555,중소형사무실,월세,1억,650,295,중소형사무실,,37.509203,127.040998,서울특별시,강남구,역삼1동,1168064000,서울 강남구 역삼동 681-17,681-17,681,17,N,서울특별시 강남구 봉은사로 310,숨빌딩,N,서울특별시 강남구 봉은사로 310,road,06143,주식회사 강남부동산중개
